vacancy_name,salary_min,salary_max,salary_currency,vacancy_link,site,company_name,city,metro_station
Разработчик Python,120000.0,,руб.,https://spb.hh.ru/vacancy/76076341?from=vacancy_search_list&query=python,hh.ru,,,
Team Lead Python,400000.0,,руб.,https://spb.hh.ru/vacancy/76930290?from=vacancy_search_list&query=python,hh.ru,,,
Middle Python developer (Казань),160000.0,,руб.,https://spb.hh.ru/vacancy/76115939?from=vacancy_search_list&query=python,hh.ru,,,
Junior/Middle Backend-разработчик на Ruby,110000.0,150000.0,руб.,https://spb.hh.ru/vacancy/76964796?from=vacancy_search_list&query=python,hh.ru,,,
Python разработчик,,,,https://spb.hh.ru/vacancy/75951525?from=vacancy_search_list&query=python,hh.ru,,,
Python разработчик уровня Middle / Middle+,130000.0,190000.0,руб.,https://spb.hh.ru/vacancy/77282299?from=vacancy_search_list&query=python,hh.ru,,,
Python разработчик,350000.0,,руб.,https://spb.hh.ru/vacancy/76929580?from=vacancy_search_list&query=python,hh.ru,,,
Преподаватель Python,125000.0,,руб.,https://spb.hh.ru/vacancy/77083921?from=vacancy_search_list&query=python,hh.ru,,,
Python Developer,,,,https://spb.hh.ru/vacancy/76843829?from=vacancy_search_list&query=python,hh.ru,,,
Python backend-разработчик в команду Data Science,,,,https://spb.hh.ru/vacancy/77050357?from=vacancy_search_list&query=python,hh.ru,,,
Python senior developer (разработчик),250000.0,,руб.,https://spb.hh.ru/vacancy/76840136?from=vacancy_search_list&query=python,hh.ru,,,
Python-разработчик (middle),,,,https://spb.hh.ru/vacancy/77289628?from=vacancy_search_list&query=python,hh.ru,,,
Системный администратор Linux (Казань),180000.0,,руб.,https://spb.hh.ru/vacancy/76115945?from=vacancy_search_list&query=python,hh.ru,,,
Инженер - исследователь (Data Science),,,,https://spb.hh.ru/vacancy/77129293?from=vacancy_search_list&query=python,hh.ru,,,
"Ведущий инженер-программист (python, С/C++)",,,,https://spb.hh.ru/vacancy/76919357?from=vacancy_search_list&query=python,hh.ru,,,
Системный аналитик (systems analyst),120000.0,,руб.,https://spb.hh.ru/vacancy/77145441?from=vacancy_search_list&query=python,hh.ru,,,
Программист Python,110000.0,130000.0,руб.,https://spb.hh.ru/vacancy/76468048?from=vacancy_search_list&query=python,hh.ru,,,
Middle Python developer,,,,https://spb.hh.ru/vacancy/76783377?from=vacancy_search_list&query=python,hh.ru,,,
Ведущий Python-developer,240000.0,300000.0,руб.,https://spb.hh.ru/vacancy/76726067?from=vacancy_search_list&query=python,hh.ru,,,
Middle программист Python (платежные сервисы),,,,https://spb.hh.ru/vacancy/75552925?from=vacancy_search_list&query=python,hh.ru,,,
Специалист службы поддержки с техническими знаниями (TOOLS),15000.0,39000.0,руб.,https://spb.hh.ru/vacancy/73595107?from=vacancy_search_list&query=python,hh.ru,,,
Специалист службы поддержки с техническими знаниями (Контест),15000.0,39000.0,руб.,https://spb.hh.ru/vacancy/48224443?from=vacancy_search_list&query=python,hh.ru,,,
Senior fullstack разработчик,,,,https://spb.hh.ru/vacancy/77088713?from=vacancy_search_list&query=python,hh.ru,,,
Инженер DevOps,,,,https://spb.hh.ru/vacancy/77155085?from=vacancy_search_list&query=python,hh.ru,,,
Инженер по сопровождению КХД,,,,https://spb.hh.ru/vacancy/77217236?from=vacancy_search_list&query=python,hh.ru,,,
Аналитик,,,,https://spb.hh.ru/vacancy/77287075?from=vacancy_search_list&query=python,hh.ru,,,
Senior DevOps Engineer,,180000.0,руб.,https://spb.hh.ru/vacancy/77114181?from=vacancy_search_list&query=python,hh.ru,,,
Senior С++ Developer,,,,https://spb.hh.ru/vacancy/75713615?from=vacancy_search_list&query=python,hh.ru,,,
"Инженер данных (качество сервисов,SLA)",,,,https://spb.hh.ru/vacancy/70972873?from=vacancy_search_list&query=python,hh.ru,,,
Senior C++ разработчик в Поиск,,,,https://spb.hh.ru/vacancy/76073280?from=vacancy_search_list&query=python,hh.ru,,,
Системный администратор 2 линия,,,,https://spb.hh.ru/vacancy/69369250?from=vacancy_search_list&query=python,hh.ru,,,
Аналитик рынка,,,,https://spb.hh.ru/vacancy/73407362?from=vacancy_search_list&query=python,hh.ru,,,
Middle/Senior QA Mobile (Manual) / Тестировщик ПО,150000.0,,руб.,https://spb.hh.ru/vacancy/77224947?from=vacancy_search_list&query=python,hh.ru,,,
Бизнес-аналитик (Операционный маркетинг),,,,https://spb.hh.ru/vacancy/71039387?from=vacancy_search_list&query=python,hh.ru,,,
Менеджер пилотных проектов,,60000.0,руб.,https://spb.hh.ru/vacancy/76569170?from=vacancy_search_list&query=python,hh.ru,,,
Бизнес-аналитик,,,,https://spb.hh.ru/vacancy/73882541?from=vacancy_search_list&query=python,hh.ru,,,
BIM Координатор (Конструктивные решения),,,,https://spb.hh.ru/vacancy/76162174?from=vacancy_search_list&query=python,hh.ru,,,
Руководитель группы разработки (Team Lead),,,,https://spb.hh.ru/vacancy/77224953?from=vacancy_search_list&query=python,hh.ru,,,
Маркетолог-аналитик,,,,https://spb.hh.ru/vacancy/73407335?from=vacancy_search_list&query=python,hh.ru,,,
Главный эксперт,,,,https://spb.hh.ru/vacancy/77216680?from=vacancy_search_list&query=python,hh.ru,,,
QA engineer (auto + manual),,,,https://spb.hh.ru/vacancy/77005657?from=vacancy_search_list&query=python,hh.ru,,,
Старший системный администратор Linux,,,,https://spb.hh.ru/vacancy/76974868?from=vacancy_search_list&query=python,hh.ru,,,
Маркетолог,,,,https://spb.hh.ru/vacancy/76998906?from=vacancy_search_list&query=python,hh.ru,,,
Аналитик по информационной безопасности (Vulnerability Management),,,,https://spb.hh.ru/vacancy/72191481?from=vacancy_search_list&query=python,hh.ru,,,
Специалист по тестированию / QA engineer (Junior),40000.0,,руб.,https://spb.hh.ru/vacancy/76968641?from=vacancy_search_list&query=python,hh.ru,,,
Data Analyst,,,,https://spb.hh.ru/vacancy/71833309?from=vacancy_search_list&query=python,hh.ru,,,
ML Engineer (Computer Vision),,,,https://spb.hh.ru/vacancy/76558811?from=vacancy_search_list&query=python,hh.ru,,,
ML Engineer (Natural Language Processing),,,,https://spb.hh.ru/vacancy/76561183?from=vacancy_search_list&query=python,hh.ru,,,
ETL developer,,,,https://spb.hh.ru/vacancy/76536219?from=vacancy_search_list&query=python,hh.ru,,,
Аналитик данных,,,,https://spb.hh.ru/vacancy/72306121?from=vacancy_search_list&query=python,hh.ru,,,
QA Manual middle,,150000.0,руб.,https://spb.hh.ru/vacancy/76940164?from=vacancy_search_list&query=python,hh.ru,,,
"Эксперт в Команду ""Чат-бот""",,,,https://spb.hh.ru/vacancy/76911066?from=vacancy_search_list&query=python,hh.ru,,,
Инженер по нагрузочному тестированию,,,,https://spb.hh.ru/vacancy/76919325?from=vacancy_search_list&query=python,hh.ru,,,
Backend разработчик С++ в команду Транспорта,,,,https://spb.hh.ru/vacancy/72747031?from=vacancy_search_list&query=python,hh.ru,,,
Application security specialist,,,,https://spb.hh.ru/vacancy/76539544?from=vacancy_search_list&query=python,hh.ru,,,
Разработчик ETL,,,,https://spb.hh.ru/vacancy/76888773?from=vacancy_search_list&query=python,hh.ru,,,
Менеджер проекта,150000.0,320000.0,руб.,https://spb.hh.ru/vacancy/76910722?from=vacancy_search_list&query=python,hh.ru,,,
DevOps инженер,,,,https://spb.hh.ru/vacancy/75684741?from=vacancy_search_list&query=python,hh.ru,,,
Программист-тестировщик (отдел автотестирования),46000.0,92000.0,руб.,https://spb.hh.ru/vacancy/75786851?from=vacancy_search_list&query=python,hh.ru,,,
Системный администратор серверов Linux (удаленно),230000.0,230000.0,руб.,https://spb.hh.ru/vacancy/76505079?from=vacancy_search_list&query=python,hh.ru,,,
Программист 1С (стажер),35000.0,40000.0,руб.,https://spb.hh.ru/vacancy/76435256?from=vacancy_search_list&query=python,hh.ru,,,
DevOps инженер (Linux),,,,https://spb.hh.ru/vacancy/75777798?from=vacancy_search_list&query=python,hh.ru,,,
Консультант 1С,,,,https://spb.hh.ru/vacancy/74378411?from=vacancy_search_list&query=python,hh.ru,,,
QA automation (R&D),,,,https://spb.hh.ru/vacancy/74246182?from=vacancy_search_list&query=python,hh.ru,,,
Руководитель направления безопасности кода,,,,https://spb.hh.ru/vacancy/74273857?from=vacancy_search_list&query=python,hh.ru,,,
Data engineer,,,,https://spb.hh.ru/vacancy/76334312?from=vacancy_search_list&query=python,hh.ru,,,
Ведущий QA инженер,,,,https://spb.hh.ru/vacancy/76637802?from=vacancy_search_list&query=python,hh.ru,,,
Middle С++ Developer (Cloud),,,,https://spb.hh.ru/vacancy/76339882?from=vacancy_search_list&query=python,hh.ru,,,
DWH разработчик / DWH инженер / Data Engineer,110000.0,,руб.,https://spb.hh.ru/vacancy/76291842?from=vacancy_search_list&query=python,hh.ru,,,
Специалист по тестированию на проникновение (pentest),,,,https://spb.hh.ru/vacancy/76272121?from=vacancy_search_list&query=python,hh.ru,,,
Продуктовый аналитик,80000.0,,руб.,https://spb.hh.ru/vacancy/76283804?from=vacancy_search_list&query=python,hh.ru,,,
Системный администратор,44000.0,75000.0,руб.,https://spb.hh.ru/vacancy/76264846?from=vacancy_search_list&query=python,hh.ru,,,
Аналитик бизнес процессов,60000.0,,руб.,https://spb.hh.ru/vacancy/76279241?from=vacancy_search_list&query=python,hh.ru,,,
QA mobile / Инженер по тестированию (manual/auto) в Тинькофф Мобильный Банк,,,,https://spb.hh.ru/vacancy/76266218?from=vacancy_search_list&query=python,hh.ru,,,
Программист - математик,,,,https://spb.hh.ru/vacancy/73987904?from=vacancy_search_list&query=python,hh.ru,,,
Инженер Linux,,,,https://spb.hh.ru/vacancy/54220301?from=vacancy_search_list&query=python,hh.ru,,,
Инженер по тестированию,,,,https://spb.hh.ru/vacancy/76170010?from=vacancy_search_list&query=python,hh.ru,,,
Инженер-программист встраиваемых систем (Embedded Firmware Engineer),,,,https://spb.hh.ru/vacancy/76160612?from=vacancy_search_list&query=python,hh.ru,,,
Преподаватель по программированию,30000.0,90000.0,руб.,https://spb.hh.ru/vacancy/76114311?from=vacancy_search_list&query=python,hh.ru,,,
"C++ Developer (Middle, Senior)",,,,https://spb.hh.ru/vacancy/76124182?from=vacancy_search_list&query=python,hh.ru,,,
['Python'],,,По договорённости,https://www.superjob.ru/clients/bank-vtb-235578.html,www.superjob.ru,Банк ВТБ,Москва,
['Python'],,,По договорённости,https://www.superjob.ru/clients/megapolis-121161.html,www.superjob.ru,МЕГАПОЛИС,Москва,
['Python'],,,По договорённости,https://www.superjob.ru/clients/bank-vtb-235578.html,www.superjob.ru,Банк ВТБ,Москва,
['Python'],,,По договорённости,https://www.superjob.ru/clients/megapolis-121161.html,www.superjob.ru,МЕГАПОЛИС,Москва,
